ID,Day,Site,Genus,Species,Project,Experiment,Plot_ID,Individual_nr,Leaf_nr,Plant_Height_cm,Plant_Length_cm,Bulk_nr_leaves,Length_cm,Wet_Mass_g,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Remark,LeafArea_cm2.x,LeafArea_cm2.y
CBQ3609,13,WAY,Halenia,umbellata,T,C,5,3,5,12,NA,NA,NA,0.038,0.191,0.178,0.184,NA,1.545,1.545
CLD8557,13,WAY,Rhynchospora,macrochaeta,T,C,5,3,4,37.4,48.5,NA,NA,0.189,0.144,0.176,0.201,NA,11.591999999999999,11.591999999999999
CBZ1867,13,WAY,Gaultheria,glomerata,T,C,1,2,4,19,NA,NA,NA,0.195,0.495,0.523,0.505,NA,4.168,4.168
CBY1745,13,WAY,Rhynchospora,macrochaeta,T,C,1,2,4,57.2,62,1,NA,0.348,0.155,0.164,0.154,NA,16.588,16.588
BYR4663,13,WAY,Paspalum,bonplandianum,T,C,1,1,2,12,6.8,1,NA,0.072,0.095,0.09,0.092,NA,3.125,3.125
CKK5734,13,WAY,Rhynchospora,macrochaeta,T,C,1,2,1,57.2,62,1,NA,0.388,0.172,0.151,0.14,NA,18.958,18.958
BYG7871,13,WAY,Halenia,umbellata,T,C,2,3,4,8,NA,NA,NA,0.029,0.211,0.212,0.198,NA,1.297,1.297
CCL3743,13,WAY,Gaultheria,glomerata,T,C,1,2,2,19,NA,NA,NA,0.092,0.418,0.443,0.448,NA,2.254,2.254
CHV5788,13,WAY,Vaccinium,floribundum,T,C,5,3,4,15.5,NA,5,NA,0.102,0.313,0.356,0.382,NA,2.98,2.98
AND4626,13,WAY,Rhynchospora,macrochaeta,T,C,4,1,2,24.3,31.2,NA,NA,0.228,0.13,0.151,0.144,NA,12.828,12.828
CHR0371,13,WAY,Vaccinium,floribundum,T,C,5,3,3,15.5,NA,5,NA,0.102,0.322,0.323,0.334,NA,3.298,3.298
CJD9340,13,WAY,Rhynchospora,macrochaeta,T,C,2,1,4,39.2,61.3,1,NA,0.143,0.086,0.104,0.116,NA,12.961,12.961
CHE2338,13,WAY,Vaccinium,floribundum,T,C,5,1,5,16.1,NA,5,NA,0.078,0.478,0.4,0.398,NA,2.254,2.254
CKW3355,13,WAY,Rhynchospora,macrochaeta,T,C,5,3,1,37.3,48.5,NA,NA,0.248,0.194,0.196,0.187,NA,14.586,14.586
CCD3127,13,WAY,Vaccinium,floribundum,T,C,5,1,1,16.1,NA,5,NA,0.089,0.345,0.367,0.447,NA,2.504,2.504
COI1685,13,WAY,Paspalum,bonplandianum,T,C,4,1,3,11,NA,NA,NA,0.053,0.126,0.11,0.094,NA,4.143,4.143
CMR2436,13,WAY,Vaccinium,floribundum,T,C,1,1,1,14,NA,5,NA,0.051,0.444,0.4,0.387,NA,1.367,1.367
COG6328,14,TRE,Lachemilla,orbiculata,T,C,4,1,4,6,NA,NA,NA,0.11,0.264,0.225,0.378,NA,2.405,2.405
CMY6500,14,TRE,Vaccinium,floribundum,T,C,1,2,1,6.4,NA,5,NA,0.145,0.613,0.702,0.65,NA,2.769,2.769
COK9038,14,TRE,Lachemilla,orbiculata,T,C,4,1,3,6,NA,NA,NA,0.16,0.279,0.263,0.251,NA,3.9019999999999997,3.9019999999999997
COJ3916,14,TRE,Lachemilla,orbiculata,T,C,4,1,2,6,NA,NA,NA,0.152,0.326,0.288,0.3,NA,3.8169999999999997,3.8169999999999997
CIW5202,14,TRE,Gaultheria,glomerata,T,C,3,1,4,12.5,NA,1,NA,0.121,0.418,0.412,0.437,NA,3.7479999999999998,3.7479999999999998
BKS6261,14,TRE,Vaccinium,floribundum,T,C,4,2,1,21,NA,5,NA,0.9,0.449,0.363,0.481,NA,2.835,2.835
BKT6119,14,TRE,Vaccinium,floribundum,T,C,4,1,4,20,NA,5,NA,0.055,0.395,0.429,0.406,NA,1.585,1.585
ANT1261,14,TRE,Rhynchospora,macrochaeta,T,C,1,1,2,40.6,46.1,NA,NA,0.634,0.325,0.351,0.295,NA,22.794,22.794
BKR4638,14,TRE,Vaccinium,floribundum,T,C,4,2,2,21,NA,5,NA,0.081,0.49,0.423,0.45,NA,2.552,2.552
CIS0953,14,TRE,Gaultheria,glomerata,T,C,3,1,3,12.5,NA,1,NA,0.162,0.441,0.404,0.426,NA,5.009,5.009
CLS6499,14,TRE,Paspalum,bonplandianum,T,C,5,1,3,8.5,14,NA,NA,0.051,0.099,0.109,0.121,NA,4.101,4.101
CLX3823,14,TRE,Gaultheria,glomerata,T,C,2,1,3,8,NA,NA,NA,0.05,0.419,0.452,0.436,NA,1.3760000000000001,1.3760000000000001
CNB8487,14,TRE,Lachemilla,orbiculata,T,C,5,1,1,8.9,NA,NA,NA,0.15,0.233,0.222,0.24,NA,NA,NA
CNT6057,14,TRE,Lachemilla,orbiculata,T,C,3,1,3,5.5,NA,NA,NA,0.109,0.249,0.294,0.221,NA,2.1679999999999997,2.1679999999999997
CEE0397,14,TRE,Lachemilla,orbiculata,T,C,5,1,2,8.9,NA,NA,NA,0.147,0.209,0.217,0.237,NA,4.468999999999999,4.468999999999999
AYF7496,14,TRE,Lachemilla,orbiculata,T,C,5,2,2,3.8,NA,NA,NA,0.094,0.248,0.273,0.249,NA,3.1329999999999996,3.1329999999999996
