ID,Day,Site,Genus,Species,Project,Experiment,Plot_ID,Individual_nr,Leaf_nr,Plant_Height_cm,Plant_Length_cm,Bulk_nr_leaves,Length_cm,Wet_Mass_g,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Remark,LeafArea_cm2,nLeafScan
CVE9285,14,TRE,Carex,pygmaea,T,BB,4,2,NA,2.5,4.5,2,NA,21,168,188,187,Leaf number missing,835,2
AQQ2704,14,TRE,Carex,pygmaea,T,BB,4,3,NA,5.5,6,4,NA,32,182,218,215,Leaf number missing,1.573,4
AYD6574,14,TRE,Vaccinium,floribundum,T,C,2,2,4,7,NA,8,NA,43,399,297,265,NA,1.588,8
BKO4291,14,TRE,Vaccinium,floribundum,T,C,2,1,2,34,NA,5,NA,109,506,503,443,NA,2.455,7
CFN6705,13,WAY,Rhynchospora,macrochaeta,T,C,5,2,3,48.2,51.1,1,NA,126,432,192,181,NA,8.042,1
CCC9000,13,WAY,Rhynchospora,macrochaeta,T,C,1,2,5,57.2,62,5,NA,0.35,165,0.18,177,brown tape,16.87,5
CGO3308,13,WAY,Rhynchospora,macrochaeta,T,C,3,1,3,37.2,38.6,2,NA,327,176,218,156,plot ID 3-4,16.275,2
CGS6519,13,WAY,Rhynchospora,macrochaeta,T,C,3,1,4,37.2,38.6,2,NA,243,227,244,197,plot ID 3-4,12.187.000.000.000.000,2
CGW0865,13,WAY,Rhynchospora,macrochaeta,T,C,3,1,5,37.2,38.6,2,NA,0.23,205,181,218,plot ID 3-4,12.956,2
BYH1355,13,WAY,Paspalum,bonplandianum,T,C,1,1,1,12,9.9,1,NA,52,94,106,114,NA,4.187,1
CJA3219,13,WAY,Vaccinium,floribundum,T,C,3,1,3,19.6,NA,5,NA,88,436,383,437,NA,2.637,5
CJF2547,13,WAY,Vaccinium,floribundum,T,C,3,1,4,19.6,NA,5,NA,77,438,442,0.45,NA,2.441,5
CJJ5671,13,WAY,Vaccinium,floribundum,T,C,3,1,5,19.6,NA,5,NA,116,423,458,393,NA,3.347,5
CIU1102,13,WAY,Vaccinium,floribundum,T,C,3,1,1,19.6,NA,5,NA,115,0.42,401,363,NA,3.27,5
CRH0210,14,TRE,Calamagrostis,tarmensis,T,BB,1,3,NA,42,44,4,NA,88,347,357,342,NA,1.98,4
CRD3119,14,TRE,Rhynchospora,macrochaeta,T,BB,1,1,NA,16.8,24,3,NA,176,212,207,204,NA,74.590.000.000.000.000,3
CHS6073,14,TRE,Rhynchospora,macrochaeta,T,BB,5,2,NA,25.2,29.8,2,NA,258,275,278,287,NA,7.504,2
CHO2895,14,TRE,Rhynchospora,macrochaeta,T,BB,5,3,NA,34.2,36.9,3,NA,311,291,296,304,NA,10.197,3
CUS4603,14,TRE,Agrostis,foliata,T,BB,3,3,NA,65,68,4,NA,18,138,125,108,NA,2.141,4
CRG4870,14,TRE,Lachemilla,vulcanica,T,BB,5,1,NA,1.8,NA,3,NA,9,96,135,111,NA,747,6
CRK0069,14,TRE,Lachemilla,vulcanica,T,BB,5,3,NA,1.6,NA,3,NA,8,135,113,132,NA,576,5
CRO3025,14,TRE,Lachemilla,vulcanica,T,BB,5,2,NA,1.9,NA,3,NA,7,107,113,145,NA,783,4
CPG2454,14,TRE,Lachemilla,vulcanica,T,BB,2,1,NA,1.5,NA,4,NA,0.01,75,99,79,NA,621,5
CPP2960,14,TRE,Lachemilla,vulcanica,T,BB,2,3,NA,1.2,NA,5,NA,12,86,177,67,NA,1.086,8
CPS5846,14,TRE,Lachemilla,vulcanica,T,BB,2,2,NA,1.2,NA,4,NA,NA,134,73,111,"""too small to weigh""",129,8
