year,season,month,site,treatment,plot_id,family,functional_group,taxon,cover,burn_year,elevation,latitude,longitude,course
2018,wet_season,March,ACJ,C,4,Poaceae,Graminoid,Festuca dolichophylla,3,NA,3490,-13.176195,-71.628844,PFTC3
2018,wet_season,March,ACJ,C,4,Polypodiaceae,Fern,Melpomene moniliformis,0.5,NA,3490,-13.176195,-71.628844,PFTC3
2018,wet_season,March,ACJ,C,4,Rosaceae,Forb,Lachemilla orbiculata,3,NA,3490,-13.176195,-71.628844,PFTC3
2018,wet_season,March,ACJ,C,5,Asteraceae,Forb,Chaptalia cordata,1,NA,3492.4,-13.176252,-71.628819,PFTC3
2018,wet_season,March,ACJ,C,5,Asteraceae,Woody,Baccharis genistelloides,0.5,NA,3492.4,-13.176252,-71.628819,PFTC3
2018,wet_season,March,ACJ,C,5,Cyperaceae,Graminoid,Carex pichinchensis,0.5,NA,3492.4,-13.176252,-71.628819,PFTC3
2018,wet_season,March,ACJ,C,5,Cyperaceae,Graminoid,Rhynchospora macrochaeta,1,NA,3492.4,-13.176252,-71.628819,PFTC3
2018,wet_season,March,ACJ,C,5,Dryopteridaceae,Fern,Elaphoglossum huacsaro,1,NA,3492.4,-13.176252,-71.628819,PFTC3
2018,wet_season,March,ACJ,C,5,Ericaceae,Woody,Gaultheria glomerata,1,NA,3492.4,-13.176252,-71.628819,PFTC3
2018,wet_season,March,ACJ,C,5,Ericaceae,Woody,Pernettya prostrata,5,NA,3492.4,-13.176252,-71.628819,PFTC3
2018,wet_season,March,ACJ,C,5,Euphorbiaceae,Forb,Euphorbia huanchahana,0.5,NA,3492.4,-13.176252,-71.628819,PFTC3
2018,wet_season,March,ACJ,C,5,Gentianaceae,Forb,Halenia umbellata,4,NA,3492.4,-13.176252,-71.628819,PFTC3
2018,wet_season,March,ACJ,C,5,Hypericaceae,Woody,Hypericum andinum,0.5,NA,3492.4,-13.176252,-71.628819,PFTC3
2018,wet_season,March,ACJ,C,5,Lycopodiaceae,Fern,Lycopodium clavatum,0.5,NA,3492.4,-13.176252,-71.628819,PFTC3
2018,wet_season,March,ACJ,C,5,Melastomataceae,Woody,Miconia rotundifolia,1,NA,3492.4,-13.176252,-71.628819,PFTC3
2018,wet_season,March,ACJ,C,5,Poaceae,Graminoid,Agrostis mertensii,1,NA,3492.4,-13.176252,-71.628819,PFTC3
2018,wet_season,March,ACJ,C,5,Poaceae,Graminoid,Calamagrostis tarmensis,35,NA,3492.4,-13.176252,-71.628819,PFTC3
2018,wet_season,March,ACJ,C,5,Poaceae,Graminoid,Cortaderia bifida,2,NA,3492.4,-13.176252,-71.628819,PFTC3
2018,wet_season,March,ACJ,C,5,Poaceae,Graminoid,Festuca dolichophylla,15,NA,3492.4,-13.176252,-71.628819,PFTC3
2018,wet_season,March,ACJ,C,5,Pteridaceae,Fern,Eriosorus cheilanthoides,0.5,NA,3492.4,-13.176252,-71.628819,PFTC3
2018,wet_season,March,PIL,B,1,Asteraceae,Forb,Oritrophium hieracioides,0.5,2007,3686.8,-13.151593,-71.640514,PFTC3
2018,wet_season,March,PIL,B,1,Cyperaceae,Graminoid,Carex bonplandii,0.5,2007,3686.8,-13.151593,-71.640514,PFTC3
2018,wet_season,March,PIL,B,1,Cyperaceae,Graminoid,Carex pygmaea,2,2007,3686.8,-13.151593,-71.640514,PFTC3
2018,wet_season,March,PIL,B,1,Cyperaceae,Graminoid,Oreobolus goeppingeri,1,2007,3686.8,-13.151593,-71.640514,PFTC3
2018,wet_season,March,PIL,B,1,Cyperaceae,Graminoid,Rhynchospora macrochaeta,2,2007,3686.8,-13.151593,-71.640514,PFTC3
2018,wet_season,March,PIL,B,1,Ericaceae,Woody,Gaultheria glomerata,1,2007,3686.8,-13.151593,-71.640514,PFTC3
2018,wet_season,March,PIL,B,1,Gentianaceae,Forb,Gentiana sedifolia,0.5,2007,3686.8,-13.151593,-71.640514,PFTC3
2018,wet_season,March,PIL,B,1,Hypericaceae,Woody,Hypericum andinum,0.5,2007,3686.8,-13.151593,-71.640514,PFTC3
2018,wet_season,March,PIL,B,1,Lycopodiaceae,Fern,Lycopodium clavatum,6,2007,3686.8,-13.151593,-71.640514,PFTC3
2018,wet_season,March,PIL,B,1,Poaceae,Graminoid,Agrostis mertensii,0.5,2007,3686.8,-13.151593,-71.640514,PFTC3
2018,wet_season,March,PIL,B,1,Poaceae,Graminoid,Calamagrostis tarmensis,60,2007,3686.8,-13.151593,-71.640514,PFTC3
2018,wet_season,March,PIL,B,1,Poaceae,Graminoid,Festuca dolichophylla,0.5,2007,3686.8,-13.151593,-71.640514,PFTC3
2018,wet_season,March,PIL,B,1,Poaceae,Graminoid,Paspalum bonplandianum,5,2007,3686.8,-13.151593,-71.640514,PFTC3
2018,wet_season,March,PIL,B,1,Polytrichaceae,Moss,Polytrichum sp1,3,2007,3686.8,-13.151593,-71.640514,PFTC3
